year_month,forecast_retail,wholesale_allowance,forecast,lower_80,upper_80,lower_95,upper_95
2026-01-01,4367.194694362262,1424.9756097560976,5792.17030411836,3892.195444858699,6267.169553621923,3636.426618202934,6522.938380277688
2026-02-01,4502.868397495458,1424.9756097560976,5927.844007251556,4013.112556707144,6417.59984803987,3749.397873205744,6681.31453154127
2026-03-01,3514.002351020872,1424.9756097560976,4938.97796077697,3131.800824342104,5321.179487455738,2926.000002284306,5526.980309513536
2026-04-01,12537.32273850892,1424.9756097560976,13962.298348265016,11173.697045506622,15325.924041267313,10439.437056966923,16060.184029807013
2026-05-01,7833.588073428773,1424.9756097560976,9258.563683184871,6981.565501455462,10110.586255158181,6522.784116546756,10569.367640066888
2026-06-01,5638.298298135676,1424.9756097560976,7063.273907891774,5025.047081387997,7676.525124639453,4694.834887754632,8006.737318272818
2026-07-01,7439.353898929672,1424.9756097560976,8864.329508685769,6955.795895499244,9347.887512116198,6695.418509036705,9608.264898578738
2026-08-01,31359.3604204757,1424.9756097560976,32784.336030231796,29321.00199314478,34822.69445756272,28223.424378428128,35920.27207227937
2026-09-01,23209.800168470225,1424.9756097560976,24634.77577822632,21559.691826390463,26284.884120306084,20671.171949885975,27173.40399681057
2026-10-01,7802.522295524612,1424.9756097560976,9227.49790528071,7149.311442669697,9880.708758135625,6797.582521901666,10232.437678903654
2026-11-01,4664.812039441318,1424.9756097560976,6089.787649197416,3343.4336433462104,7411.166045292523,2631.922199294998,8122.677489343736
2026-12-01,3641.866185999511,1424.9756097560976,5066.8417957556085,3075.4661899354596,5633.24179181966,2770.4815766702013,5938.226405084918
2027-01-01,5112.353335622808,1424.9756097560976,6537.328945378906,4556.306681519496,7093.375599482218,4256.896944694636,7392.785336307078
2027-02-01,5236.12219155034,1424.9756097560976,6661.097801306438,4666.613780462988,7230.60621239379,4359.955405262106,7537.264587594672
2027-03-01,4246.693089299507,1424.9756097560976,5671.6686990556045,3784.8002332532064,6133.561555101905,3536.088695382122,6382.27309297299
2027-04-01,13269.986846306569,1424.9756097560976,14694.962456062665,11826.672720409044,16138.276581960192,11049.503575694991,16915.445726674243
2027-05-01,8566.250921701974,1424.9756097560976,9991.226531458073,7634.540053825993,10922.937399334052,7132.849586508157,11424.627866651888
2027-06-01,6370.9610868379705,1424.9756097560976,7795.936696594068,5678.021580666868,8488.87620276517,5304.900308113198,8861.99747531884
