year_month,product_title,forecast_units
2026-01-01,OmiePod fork & spoon set,24
2026-02-01,OmiePod fork & spoon set,12
2026-03-01,OmiePod fork & spoon set,14
2026-04-01,OmiePod fork & spoon set,25
2026-05-01,OmiePod fork & spoon set,15
2026-06-01,OmiePod fork & spoon set,16
2026-07-01,OmiePod fork & spoon set,18
2026-08-01,OmiePod fork & spoon set,94
2026-09-01,OmiePod fork & spoon set,103
2026-10-01,OmiePod fork & spoon set,26
2026-11-01,OmiePod fork & spoon set,16
2026-12-01,OmiePod fork & spoon set,15
2026-01-01,OmieDip (set of 2),20
2026-02-01,OmieDip (set of 2),10
2026-03-01,OmieDip (set of 2),12
2026-04-01,OmieDip (set of 2),16
2026-05-01,OmieDip (set of 2),16
2026-06-01,OmieDip (set of 2),14
2026-07-01,OmieDip (set of 2),16
2026-08-01,OmieDip (set of 2),71
2026-09-01,OmieDip (set of 2),92
2026-10-01,OmieDip (set of 2),34
2026-11-01,OmieDip (set of 2),20
2026-12-01,OmieDip (set of 2),19
2026-01-01,Omiebox Bentobox Pink Berry,8
2026-02-01,Omiebox Bentobox Pink Berry,5
2026-03-01,Omiebox Bentobox Pink Berry,8
2026-04-01,Omiebox Bentobox Pink Berry,9
2026-05-01,Omiebox Bentobox Pink Berry,7
2026-06-01,Omiebox Bentobox Pink Berry,5
2026-07-01,Omiebox Bentobox Pink Berry,8
2026-08-01,Omiebox Bentobox Pink Berry,37
2026-09-01,Omiebox Bentobox Pink Berry,44
2026-10-01,Omiebox Bentobox Pink Berry,7
2026-11-01,Omiebox Bentobox Pink Berry,6
2026-12-01,Omiebox Bentobox Pink Berry,3
2026-01-01,Name Customization,6
2026-02-01,Name Customization,2
2026-03-01,Name Customization,3
2026-04-01,Name Customization,9
2026-05-01,Name Customization,6
2026-06-01,Name Customization,2
2026-07-01,Name Customization,7
2026-08-01,Name Customization,42
2026-09-01,Name Customization,33
2026-10-01,Name Customization,0
2026-11-01,Name Customization,0
2026-12-01,Name Customization,0
2026-01-01,Omiebox Bentobox Blue Sky,7
2026-02-01,Omiebox Bentobox Blue Sky,3
2026-03-01,Omiebox Bentobox Blue Sky,4
2026-04-01,Omiebox Bentobox Blue Sky,9
2026-05-01,Omiebox Bentobox Blue Sky,6
2026-06-01,Omiebox Bentobox Blue Sky,7
2026-07-01,Omiebox Bentobox Blue Sky,5
2026-08-01,Omiebox Bentobox Blue Sky,33
2026-09-01,Omiebox Bentobox Blue Sky,39
2026-10-01,Omiebox Bentobox Blue Sky,8
2026-11-01,Omiebox Bentobox Blue Sky,3
2026-12-01,Omiebox Bentobox Blue Sky,3
2026-01-01,"Small Bumper -350ML, 475ML, 700ML",11
2026-02-01,"Small Bumper -350ML, 475ML, 700ML",8
2026-03-01,"Small Bumper -350ML, 475ML, 700ML",6
2026-04-01,"Small Bumper -350ML, 475ML, 700ML",14
2026-05-01,"Small Bumper -350ML, 475ML, 700ML",15
2026-06-01,"Small Bumper -350ML, 475ML, 700ML",16
2026-07-01,"Small Bumper -350ML, 475ML, 700ML",12
2026-08-01,"Small Bumper -350ML, 475ML, 700ML",47
2026-09-01,"Small Bumper -350ML, 475ML, 700ML",22
2026-10-01,"Small Bumper -350ML, 475ML, 700ML",12
2026-11-01,"Small Bumper -350ML, 475ML, 700ML",10
2026-12-01,"Small Bumper -350ML, 475ML, 700ML",6
2026-01-01,OmieSnack,0
2026-02-01,OmieSnack,0
2026-03-01,OmieSnack,0
2026-04-01,OmieSnack,0
2026-05-01,OmieSnack,0
2026-06-01,OmieSnack,0
2026-07-01,OmieSnack,0
2026-08-01,OmieSnack,25
2026-09-01,OmieSnack,23
2026-10-01,OmieSnack,7
2026-11-01,OmieSnack,0
2026-12-01,OmieSnack,0
2026-01-01,MontiiCo 475ml Water Bottle,5
2026-02-01,MontiiCo 475ml Water Bottle,7
2026-03-01,MontiiCo 475ml Water Bottle,2
2026-04-01,MontiiCo 475ml Water Bottle,12
2026-05-01,MontiiCo 475ml Water Bottle,10
2026-06-01,MontiiCo 475ml Water Bottle,8
2026-07-01,MontiiCo 475ml Water Bottle,5
2026-08-01,MontiiCo 475ml Water Bottle,31
2026-09-01,MontiiCo 475ml Water Bottle,10
2026-10-01,MontiiCo 475ml Water Bottle,8
2026-11-01,MontiiCo 475ml Water Bottle,2
2026-12-01,MontiiCo 475ml Water Bottle,0
2026-01-01,Yumbox Tapas 5 Compartments (Large),5
2026-02-01,Yumbox Tapas 5 Compartments (Large),5
2026-03-01,Yumbox Tapas 5 Compartments (Large),2
2026-04-01,Yumbox Tapas 5 Compartments (Large),7
2026-05-01,Yumbox Tapas 5 Compartments (Large),3
