Reporting starts,Reporting ends,Campaign name,Campaign delivery,Results,Result indicator,Cost per results,Ad set budget,Ad set budget type,Amount spent (USD),Impressions,Reach,Ends,Attribution setting,Total messaging contacts,New messaging contacts,Purchases,Cost per purchase (USD)
2/27/2023,3/27/2026,Instagram Post,completed,18,actions:onsite_conversion.messaging_conversation_started_7d,0.27777778,5,Lifetime,5,1374,1095,4/10/2025,7-day click or 1-day view,27,9,,
2/27/2023,3/27/2026,Instagram Post,completed,6,actions:onsite_conversion.messaging_conversation_started_7d,0.81833333,5,Lifetime,4.91,1107,858,4/10/2025,7-day click or 1-day view,8,2,,
2/27/2023,3/27/2026,Instagram Post,inactive,2,actions:onsite_conversion.messaging_conversation_started_7d,0.945,3,Lifetime,1.89,594,516,4/12/2025,7-day click or 1-day view,2,,,
2/27/2023,3/27/2026,Instagram Post,inactive,,,,3,Lifetime,1.84,599,524,4/12/2025,7-day click or 1-day view,4,,,
2/27/2023,3/27/2026,Instagram Post,completed,6,actions:onsite_conversion.messaging_conversation_started_7d,0.81833333,5,Lifetime,4.91,1423,1220,4/13/2025,7-day click or 1-day view,8,1,,
2/27/2023,3/27/2026,Instagram Post,completed,7,actions:onsite_conversion.messaging_conversation_started_7d,0.70285714,5,Lifetime,4.92,1897,1737,4/13/2025,7-day click or 1-day view,12,5,,
2/27/2023,3/27/2026,Instagram Post,completed,2,actions:onsite_conversion.messaging_conversation_started_7d,2.445,5,Lifetime,4.89,1327,1126,4/13/2025,7-day click or 1-day view,5,2,,
2/27/2023,3/27/2026,Instagram Post,completed,3,actions:onsite_conversion.messaging_conversation_started_7d,1.61,5,Lifetime,4.83,1302,1006,4/13/2025,7-day click or 1-day view,5,1,,
2/27/2023,3/27/2026,Instagram Post,completed,3,actions:onsite_conversion.messaging_conversation_started_7d,1.65,5,Lifetime,4.95,1270,909,4/14/2025,7-day click or 1-day view,4,1,,
2/27/2023,3/27/2026,Instagram Post,completed,2,actions:onsite_conversion.messaging_conversation_started_7d,2.495,5,Lifetime,4.99,1163,879,4/14/2025,7-day click or 1-day view,4,1,,
2/27/2023,3/27/2026,Instagram Post,completed,6,actions:onsite_conversion.messaging_conversation_started_7d,0.83,5,Lifetime,4.98,1787,1565,4/14/2025,7-day click or 1-day view,8,2,,
2/27/2023,3/27/2026,Instagram Post,completed,6,actions:onsite_conversion.messaging_conversation_started_7d,0.825,5,Lifetime,4.95,1505,1202,4/14/2025,7-day click or 1-day view,9,2,,
2/27/2023,3/27/2026,Instagram post: Genius OmieBox: Let's unbox it...,completed,17,actions:onsite_conversion.messaging_conversation_started_7d,0.28823529,5,Lifetime,4.9,2666,2085,4/18/2025,7-day click or 1-day view,17,16,,
2/27/2023,3/27/2026,"Instagram post: ‎""منّي إلِك""...قريبًا

#urthmama...",completed,201,actions:link_click,0.02487562,5,Lifetime,5,2739,2504,4/18/2025,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram Post,inactive,6,actions:onsite_conversion.messaging_conversation_started_7d,0.5,5,Lifetime,3,917,819,4/19/2025,7-day click or 1-day view,5,2,,
2/27/2023,3/27/2026,Instagram Post,inactive,2,actions:onsite_conversion.messaging_conversation_started_7d,1.48,5,Lifetime,2.96,844,797,4/19/2025,7-day click or 1-day view,2,2,,
2/27/2023,3/27/2026,Instagram Post,inactive,1,actions:onsite_conversion.messaging_conversation_started_7d,2.95,5,Lifetime,2.95,731,604,4/19/2025,7-day click or 1-day view,1,1,,
2/27/2023,3/27/2026,Instagram Post,completed,2,actions:onsite_conversion.messaging_conversation_started_7d,2.45,5,Lifetime,4.9,1194,847,4/19/2025,7-day click or 1-day view,5,,,
2/27/2023,3/27/2026,Instagram Post,completed,5,actions:onsite_conversion.messaging_conversation_started_7d,0.962,5,Lifetime,4.81,1503,1141,4/19/2025,7-day click or 1-day view,4,3,,
2/27/2023,3/27/2026,Instagram Post,completed,6,actions:onsite_conversion.messaging_conversation_started_7d,0.78666667,5,Lifetime,4.72,1204,951,4/19/2025,7-day click or 1-day view,5,5,,
2/27/2023,3/27/2026,Instagram Post,completed,4,actions:onsite_conversion.messaging_conversation_started_7d,1.15,5,Lifetime,4.6,1350,1145,4/19/2025,7-day click or 1-day view,8,3,,
2/27/2023,3/27/2026,"Instagram post: ‎""منّي إلِك""...قريبًا

#urthmama...",completed,200,actions:link_click,0.02425,5,Lifetime,4.85,3192,3150,4/19/2025,7-day click or 1-day view,1,1,,
2/27/2023,3/27/2026,Instagram Post,completed,10,actions:onsite_conversion.messaging_conversation_started_7d,0.5,5,Lifetime,5,1567,1314,4/20/2025,7-day click or 1-day view,9,5,,
2/27/2023,3/27/2026,Instagram Post,completed,7,actions:onsite_conversion.messaging_conversation_started_7d,0.71142857,5,Lifetime,4.98,1559,1337,4/20/2025,7-day click or 1-day view,15,6,,
2/27/2023,3/27/2026,Instagram Post,completed,2,actions:onsite_conversion.messaging_conversation_started_7d,2.485,5,Lifetime,4.97,1317,1064,4/20/2025,7-day click or 1-day view,3,1,,
2/27/2023,3/27/2026,Instagram Post,completed,3,actions:onsite_conversion.messaging_conversation_started_7d,1.66333333,5,Lifetime,4.99,1175,831,4/20/2025,7-day click or 1-day view,5,2,,
2/27/2023,3/27/2026,"Instagram post: HURRY!
URTH Mama is celebrating...",completed,104,actions:link_click,0.04788462,5,Lifetime,4.98,2666,2411,4/21/2025,7-day click or 1-day view,3,3,,
2/27/2023,3/27/2026,Instagram post: Here's why you should consider...,completed,15,actions:onsite_conversion.messaging_conversation_started_7d,0.33133333,5,Lifetime,4.97,2800,2175,4/21/2025,7-day click or 1-day view,18,14,,
2/27/2023,3/27/2026,Instagram Post,completed,7,actions:onsite_conversion.messaging_conversation_started_7d,0.7,5,Lifetime,4.9,1804,1495,4/22/2025,7-day click or 1-day view,8,6,,
2/27/2023,3/27/2026,Instagram Post,completed,9,actions:onsite_conversion.messaging_conversation_started_7d,0.55,5,Lifetime,4.95,1917,1601,4/22/2025,7-day click or 1-day view,11,7,,
2/27/2023,3/27/2026,Instagram Post,completed,1,actions:onsite_conversion.messaging_conversation_started_7d,4.92,5,Lifetime,4.92,1348,1039,4/22/2025,7-day click or 1-day view,2,1,,
2/27/2023,3/27/2026,Instagram Post,completed,,,,5,Lifetime,4.9,1286,995,4/22/2025,7-day click or 1-day view,1,,,
2/27/2023,3/27/2026,"Instagram post: ‎""منّي إلِك""...قريبًا

#urthmama...",completed,301,actions:link_click,0.01654485,5,Lifetime,4.98,3912,3702,4/23/2025,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram Post,inactive,136,actions:onsite_conversion.messaging_conversation_started_7d,0.30088235,5,Daily,40.92,19857,8560,Ongoing,7-day click or 1-day view,162,94,,
2/27/2023,3/27/2026,Instagram Post,completed,4,actions:onsite_conversion.messaging_conversation_started_7d,1.195,5,Lifetime,4.78,1491,1129,4/30/2025,7-day click or 1-day view,7,2,,
2/27/2023,3/27/2026,Instagram post: Genius OmieBox: Let's unbox it...,completed,48,actions:onsite_conversion.messaging_conversation_started_7d,0.20729167,10,Lifetime,9.95,7200,5544,5/3/2025,7-day click or 1-day view,53,42,,
2/27/2023,3/27/2026,Instagram Post,completed,,,,5,Lifetime,4.83,1541,1143,5/4/2025,7-day click or 1-day view,2,,,
